Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,Saldo awal,,,-5103500,,
2,,0,0,-5103500,,
,,0,0,-5103500,,
,,0,0,-5103500,,
,,,,-5103500,,
,,,,,,
,,,,,,
LEGALITAS KOPERASI,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,Saldo Awal,,0,0,,
,,0,0,0,,
,,0,0,0,,
,,0,0,0,,
,,,,0,,
,,,,,,
,,,,,,
Ak.PENYUSUTAN LEGALITAS KOPERASI,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,Saldo awal,,,0,,
,TB 2023,0,0,0,,
,,0,0,0,,
,,0,0,0,,
,,,,0,,
,,,,,,
,,,,,,
SIMPANAN SUKARELA,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,Saldo awal,,,52563411,,
2,SHU TB 2020,0,0,52563411,,
,Pengembalian Angg. B/P,9427127,0,43136284,,
,Pengembalian Angg. A,0,0,43136284,,
,Penambahan atas Pembagian SHU 2019,0,0,43136284,,
,Pembayaran Dana Karyawan yang ada di Sukarela,0,,43136284,,
,,,,43136284,,
,,,,43136284,,
,,,,43136284,,
,,,,,,
,,,,,,
DANA TITIPAN ANGGOTA,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,Saldo awal,,,0,,
,,0,0,0,,
,,0,0,0,,
,,0,0,0,,
,,,,0,,
,,,,,,
DANA PENDIDIKAN,,,,,,
,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
,Saldo awal,,,114016452,,
,Pembagian SHU 2018,0,0,114016452,,
,,0,0,114016452,,
,,0,0,114016452,,
,,,,114016452,,
,,,,,,
,,,,,,
DANA SOSIAL,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,,,,75776891,,
2,Pembagian SHU 2018,0,0,75776891,,
,,0,0,75776891,,
,,0,0,75776891,,
,,,,75776891,,
,,,,,,
,,,,,,
DANA PEMDAKER,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,,,,61047394,,
2,Pembagian SHU 2018,0,0,61047394,,
,,0,0,61047394,,
,,0,0,61047394,,
,,,,61047394,,
,,,,,,
,,,,,,
DANA CADANGAN RESIKO,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,saldo awal,,,837600710,,
2,dana resiko,0,6574500,844175210,,
,,0,0,844175210,,
,,0,0,844175210,,
,,,,844175210,,
,,,,,,
,,,,,,
,,,,,,
DANA SWP,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,,,,0,,
2,SWP MASUK,0,,0,,
,SWP KELUAR,,0,0,,
,,0,0,0,,
,,,,0,,
,,,,,,
,,,,,,
,,,,,,
HUTANG PAJAK,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,,,,11355553,,
2,,0,0,11355553,,
,,0,0,11355553,,
,,0,0,11355553,,
,,,,11355553,,
,,,,,,
,,,,,,
HUTANG SHU TB 2020,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,,,,0,,
2,SHU DIBAGI,0,0,0,,
,,0,0,0,,
,,0,0,0,,
,,,,0,,
,,,,,,
,,,,,,
HUTANG BANK,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,,,,0,,
2,,0,0,0,,
,,0,0,0,,
,,0,0,0,,
,,,,0,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
SIMPANAN POKOK,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,,,,8675000,,
2,Pengembalian Simpanan Pokok,450000,,8225000,,
,,,0,8225000,,
,,0,0,8225000,,
,,,,8225000,,
,,,,,,
SIMPANAN WAJIB,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,Saldo Awal,,,339466245,,
2,Penerimaan Simpanan Wajib Bank Bukopin,,0,339466245,,
,Pengembalian Simpanan Wajib,16106000,,323360245,,
,penerimaan simpanan wajib Bank BRK,,14400000,337760245,,
,,,,337760245,,
,,,,,,
SIMPANAN WAJIB PEMINJAM,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,Saldo Awal,,,751460880,,
2,Penerimaan Simpanan Wajib,,13149000,764609880,,
,Pengembalian Simpanan Wajib Anggota B/P,42081850,,722528030,,
